FechaAsociada,Precio,PuntoInicial,PuntoFinal
2023-01-01 00:00,0.117250,0,3
2023-01-01 01:00,0.115160,4,4
2023-01-01 02:00,0.108520,5,6
2023-01-01 03:00,0.109620,7,7
2023-01-01 04:00,0.106650,8,8
2023-01-01 05:00,0.111900,9,10
2023-01-01 06:00,0.116460,11,11
2023-01-01 07:00,0.116880,12,12
2023-01-01 08:00,0.138150,13,13
2023-01-01 09:00,0.120080,14,14
2023-01-01 10:00,0.153450,15,15
2023-01-01 11:00,0.130300,16,16
2023-01-01 12:00,0.130300,17,17
2023-01-01 13:00,0.130060,18,18
2023-01-01 14:00,0.071630,19,19
2023-01-01 15:00,0.074750,20,20
2023-01-01 16:00,0.075810,21,21
2023-01-01 17:00,0.104020,22,22
2023-01-01 18:00,0.154470,23,23
2023-01-01 19:00,0.168390,24,24
2023-01-01 20:00,0.197040,25,25
2023-01-01 21:00,0.207150,26,26
2023-01-01 22:00,0.162430,27,28
2023-01-01 23:00,0.157400,29,29
