NumeroPunto,FechaAdicional
0,2023-01-01 00:20
1,2023-01-01 00:23
2,2023-01-01 00:40
3,2023-01-01 01:00
4,2023-01-01 02:00
5,2023-01-01 02:50
6,2023-01-01 03:00
7,2023-01-01 04:00
8,2023-01-01 05:00
9,2023-01-01 05:40
10,2023-01-01 06:00
11,2023-01-01 07:00
12,2023-01-01 08:00
13,2023-01-01 09:00
14,2023-01-01 10:00
15,2023-01-01 11:00
16,2023-01-01 12:00
17,2023-01-01 13:00
18,2023-01-01 14:00
19,2023-01-01 15:00
20,2023-01-01 16:00
21,2023-01-01 17:00
22,2023-01-01 18:00
23,2023-01-01 19:00
24,2023-01-01 20:00
25,2023-01-01 21:00
26,2023-01-01 22:00
27,2023-01-01 22:40
28,2023-01-01 23:00
