Numero Punto Simulacion,Fecha,bateria terminal 1,bateria terminal 2,bateria terminal 3,bateria terminal 4,bateria terminal 5,bateria terminal 6,bateria terminal 7,bateria terminal 8,bateria terminal 9,bateria terminal 10,bateria terminal 11,bateria terminal 12,potencia terminal 1,potencia terminal 2,potencia terminal 3,potencia terminal 4,potencia terminal 5,potencia terminal 6,potencia terminal 7,potencia terminal 8,potencia terminal 9,potencia terminal 10,potencia terminal 11,potencia terminal 12,potencia red,potencia entrada sistema,potencia salida  sistema,potencia red fase R,potencia red fase S,potencia red fase T,potencia entrada sistema fase R,potencia entrada sistema fase S,potencia entrada sistema fase T,potencia salida  sistema fase R,potencia salida  sistema fase S,potencia salida  sistema fase T,
0,2023-01-01 00:20,0.700000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,0.000000,0.100000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1,2023-01-01 00:23,0.698697,0.000000,0.100000,0.000000,0.000000,0.101628,0.000000,0.000000,0.100000,0.100000,0.100000,0.000000,-0.043422,-0.000000,0.000000,0.000000,-0.000000,0.043422,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,
2,2023-01-01 00:40,0.663042,0.100000,0.100000,0.000000,0.000000,0.123808,0.000000,0.000000,0.100000,0.122390,0.100000,0.000000,-0.209740,-0.000000,0.000000,0.000000,-0.000000,0.104377,-0.000000,0.000000,0.000000,0.105363,0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,
3,2023-01-01 01:00,0.635192,0.100000,0.100000,0.000000,0.000000,0.141114,0.000000,0.000000,0.100000,0.139896,0.100000,0.000000,-0.139247,0.000000,0.000000,0.000000,-0.000000,0.069221,-0.000000,0.000000,0.000000,0.070027,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,
4,2023-01-01 02:00,0.547181,0.100000,0.100000,0.000000,0.000000,0.195556,0.000000,0.000000,0.100000,0.195467,0.100000,0.000000,-0.146685,0.000000,0.000000,0.000000,-0.000000,0.072590,-0.000000,0.000000,0.000000,0.074095,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,
5,2023-01-01 02:50,0.526209,0.100000,0.100000,0.000000,0.100000,0.208661,0.000000,0.000000,0.100000,0.208578,0.100000,0.000000,-0.041944,0.000000,0.000000,0.000000,-0.000000,0.020968,-0.000000,0.000000,0.000000,0.020976,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,
6,2023-01-01 03:00,0.495339,0.100000,0.100000,0.000000,0.899975,0.227955,0.000000,0.000000,0.100000,0.227871,0.100000,0.000000,-0.308699,0.000000,0.000000,0.000000,6.399802,0.154349,0.000000,0.000000,0.000000,0.154350,0.000000,0.000000,6.399802,6.399802,0.000000,6.399802,0.000000,0.000000,6.399802,0.000000,0.000000,0.000000,-0.000000,-0.000000,
7,2023-01-01 04:00,0.433197,0.100000,0.100000,0.000000,0.899976,0.266801,0.000000,0.000000,0.100000,0.266703,0.100000,0.000000,-0.103571,-0.000000,-0.000000,0.000000,0.000001,0.051795,-0.000000,0.000000,-0.000000,0.051776,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,
8,2023-01-01 05:00,0.416683,0.100000,0.100000,0.000000,0.899976,0.277148,0.000000,0.000000,0.100000,0.276998,0.100000,0.000000,-0.027523,-0.000000,-0.000000,0.000000,0.000001,0.013796,-0.000000,0.000000,-0.000000,0.013727,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000000,-0.000000,0.000001,-0.000000,-0.000000,-0.000000,0.000000,0.000000,
9,2023-01-01 05:40,0.409586,0.100000,0.100000,0.000000,0.899977,0.281575,0.100000,0.000000,0.100000,0.281442,0.100000,0.000000,-0.017740,-0.000000,-0.000000,0.000000,0.000001,0.008852,-0.000000,0.000000,-0.000000,0.008888,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,
